"","variable","value","count","factor","Category"
"428","Ache_pain_4w",5,2219,5,"Self-reported health"
"429","Ache_pain_disturbed_work_4w",5,568,5,"Self-reported health"
"430","Feeling_alert_4w",5,3579,5,"Self-reported health"
"431","Feeling_nervous_4w",5,7981,5,"Self-reported health"
"432","Feeling_depresed_4w",5,4401,5,"Self-reported health"
"433","Feeling_calm_4w",5,2526,5,"Self-reported health"
"434","Feeling_full_of_energy_4w",5,4612,5,"Self-reported health"
"435","Feeling_gloomy_sad_4w",5,11117,5,"Self-reported health"
"436","Feeling_worn_out_4w",5,11840,5,"Self-reported health"
"437","Feeling_happy_4w",5,2917,5,"Self-reported health"
"438","Feeling_tired_4w",5,13669,5,"Self-reported health"
"439","Physical_emotional_health_4w_limited_social_interactions",5,26084,5,"Self-reported health"
"440","Sick_more_often_others",5,25949,5,"Self-reported health"
"441","Healthy_as_others",5,1765,5,"Self-reported health"
"442","My_health_will_worsen",5,14365,5,"Self-reported health"
"443","My_health_exellent",5,2185,5,"Self-reported health"
"444","Moderate_physical_activities_warm_per_week",5,859,5,"Lifestyle and environment"
"445","Habitual_exercise_change_last_year",5,2051,5,"Lifestyle and environment"
"446","Trainig_in_sport_outfit_frequency",5,5921,5,"Lifestyle and environment"
"447","Exerceise_change_last_year",5,1639,5,"Lifestyle and environment"
"448","Physically_active_before_20",5,2744,5,"Lifestyle and environment"
"449","People_with_same_interest",5,10960,5,"Psychosocial factors"
"450","Meeting_people_1w",5,13864,5,"Psychosocial factors"
"451","Number_close_friends",5,9101,5,"Psychosocial factors"
"452","Number_people_speak_openly",5,6891,5,"Psychosocial factors"
"453","How_often_voluntary_organization",5,6798,5,"Psychosocial factors"
"454","Smoking_5_categories",5,9051,5,"Lifestyle and environment"
"455","Ache_pain_4w",6,385,6,"Self-reported health"
"456","Feeling_alert_4w",6,1799,6,"Self-reported health"
"457","Feeling_nervous_4w",6,25128,6,"Self-reported health"
"458","Feeling_depresed_4w",6,29467,6,"Self-reported health"
"459","Feeling_calm_4w",6,788,6,"Self-reported health"
"460","Feeling_full_of_energy_4w",6,2081,6,"Self-reported health"
"461","Feeling_gloomy_sad_4w",6,20349,6,"Self-reported health"
"462","Feeling_worn_out_4w",6,13495,6,"Self-reported health"
"463","Feeling_happy_4w",6,692,6,"Self-reported health"
"464","Feeling_tired_4w",6,3995,6,"Self-reported health"
"465","Moderate_physical_activities_warm_per_week",6,1196,6,"Lifestyle and environment"
"466","People_with_same_interest",6,30317,6,"Psychosocial factors"
"467","Meeting_people_1w",6,39700,6,"Psychosocial factors"
"468","Number_close_friends",6,11661,6,"Psychosocial factors"
"469","Number_people_speak_openly",6,7512,6,"Psychosocial factors"
